2018-12-10 01:04:36pm   LOGIN    Level:    Cards: 
2018-12-10 01:04:48pm   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 01:04:49pm   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 01:05:00pm   RUN         Level: 1-1   Cards: event,move,move
2018-12-10 01:05:04pm   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 01:05:07pm   COMPLETE    Level: 1-1   Cards: 
2018-12-10 01:05:28pm   RUN         Level: 1-2   Cards: event,left,move,move
2018-12-10 01:05:30pm   COMPLETE    Level: 1-2   Cards: 
2018-12-10 01:05:54pm   RUN         Level: 1-3   Cards: event,move,left,move,move,move
2018-12-10 01:05:57pm   COMPLETE    Level: 1-3   Cards: 
2018-12-10 01:06:38pm   RUN         Level: 1-4   Cards: event,move,left,move,move,move,left,move
2018-12-10 01:06:43pm   COMPLETE    Level: 1-4   Cards: 
2018-12-10 01:06:49pm   RUN         Level: 1-5   Cards: event
2018-12-10 01:07:10pm   RUN         Level: 1-5   Cards: event,left,move,move,right,move,move
2018-12-10 01:07:14pm   COMPLETE    Level: 1-5   Cards: 
2018-12-10 01:07:44pm   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right
2018-12-10 01:07:53pm   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right,move
2018-12-10 01:07:59pm   COMPLETE    Level: 1-6   Cards: 
2018-12-10 01:08:46pm   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,right,move
2018-12-10 01:08:54pm   COMPLETE    Level: 1-7   Cards: 
2018-12-10 01:09:24pm   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right,move
2018-12-10 01:09:30pm   COMPLETE    Level: 1-8   Cards: 
2018-12-10 01:10:07pm   RUN         Level: 1-9   Cards: event,left,move,right,move,move,move,left,move,move,left,move
2018-12-10 01:10:13pm   COMPLETE    Level: 1-9   Cards: 
2018-12-10 01:10:15pm   RUN         Level: 1-9   Cards: event,left,move,right,move,move,move,left,move,move,left,move
2018-12-10 01:11:33pm   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right,move
2018-12-10 01:11:40pm   COMPLETE    Level: 1-10   Cards: 
2018-12-10 01:12:22pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,move,right,move,move
2018-12-10 01:12:53pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,move,right,move,move
2018-12-10 01:13:16pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move
2018-12-10 01:13:36pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,right,move,move
2018-12-10 01:13:44pm   COMPLETE    Level: 1-11   Cards: 
2018-12-10 01:15:11pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,move,left,move
2018-12-10 01:15:36pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,left,move
2018-12-10 01:15:43pm   COMPLETE    Level: 1-12   Cards: 
2018-12-10 01:15:57pm   RUN         Level: 2-1   Cards: event,laser,move,move,move
2018-12-10 01:16:00pm   COMPLETE    Level: 2-1   Cards: 
2018-12-10 01:16:23pm   RUN         Level: 2-2   Cards: event,move,move,left,laser,move,move
2018-12-10 01:16:27pm   COMPLETE    Level: 2-2   Cards: 
