2018-12-10 01:04:30pm   LOGIN    Level:    Cards: 
2018-12-10 01:04:41pm   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 01:04:43pm   COMPLETE    Level: 1-1   Cards: 
2018-12-10 01:05:00pm   RUN         Level: 1-2   Cards: event,left,move,move
2018-12-10 01:05:02pm   COMPLETE    Level: 1-2   Cards: 
2018-12-10 01:05:42pm   RUN         Level: 1-3   Cards: event,move,left,move,move,move
2018-12-10 01:05:45pm   COMPLETE    Level: 1-3   Cards: 
2018-12-10 01:06:11pm   RUN         Level: 1-4   Cards: event,move,left,move,move,move,left,move
2018-12-10 01:06:16pm   COMPLETE    Level: 1-4   Cards: 
2018-12-10 01:06:38pm   RUN         Level: 1-5   Cards: event,left,move,move,right,move,move
2018-12-10 01:06:42pm   COMPLETE    Level: 1-5   Cards: 
2018-12-10 01:07:08pm   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right,move
2018-12-10 01:07:13pm   COMPLETE    Level: 1-6   Cards: 
2018-12-10 01:08:00pm   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,right,move
2018-12-10 01:08:07pm   COMPLETE    Level: 1-7   Cards: 
2018-12-10 01:08:14pm   RUN         Level: 1-8   Cards: event
2018-12-10 01:08:34pm   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right
2018-12-10 01:08:45pm   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right,move
2018-12-10 01:08:52pm   COMPLETE    Level: 1-8   Cards: 
2018-12-10 01:09:26pm   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left,move,move,left,move
2018-12-10 01:09:33pm   COMPLETE    Level: 1-9   Cards: 
2018-12-10 01:10:28pm   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right,move
2018-12-10 01:10:36pm   COMPLETE    Level: 1-10   Cards: 
2018-12-10 01:11:08pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move
2018-12-10 01:11:24pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,right,move,move
2018-12-10 01:11:32pm   COMPLETE    Level: 1-11   Cards: 
2018-12-10 01:12:02pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,left,move
2018-12-10 01:12:09pm   COMPLETE    Level: 1-12   Cards: 
2018-12-10 01:12:25pm   RUN         Level: 2-1   Cards: event,laser,move,move,move
2018-12-10 01:12:28pm   COMPLETE    Level: 2-1   Cards: 
2018-12-10 01:12:53pm   RUN         Level: 2-2   Cards: event,left,move,laser,move,right,laser,move,move
2018-12-10 01:12:58pm   COMPLETE    Level: 2-2   Cards: 
2018-12-10 01:13:16pm   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,move
2018-12-10 01:13:20pm   COMPLETE    Level: 2-3   Cards: 
2018-12-10 01:13:51pm   RUN         Level: 2-4   Cards: event,move,move,left,move,laser,move,move,right,move
2018-12-10 01:13:57pm   COMPLETE    Level: 2-4   Cards: 
2018-12-10 01:14:22pm   RUN         Level: 2-5   Cards: event,left,move,right,laser,move,move,left,move
2018-12-10 01:14:28pm   COMPLETE    Level: 2-5   Cards: 
2018-12-10 01:15:02pm   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,left,laser,move,move
2018-12-10 01:15:08pm   COMPLETE    Level: 2-6   Cards: 
2018-12-10 01:15:45pm   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,laser,move,left,move
2018-12-10 01:15:52pm   COMPLETE    Level: 2-7   Cards: 
2018-12-10 01:16:29pm   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move,left,move,right,move
2018-12-10 01:16:36pm   COMPLETE    Level: 2-8   Cards: 
2018-12-10 01:17:08pm   RUN         Level: 2-9   Cards: event,laser,move,left,laser,move,laser,move,right,move,move
2018-12-10 01:17:15pm   COMPLETE    Level: 2-9   Cards: 
2018-12-10 01:18:01pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move,move,right,laser,move,left,move
2018-12-10 01:18:08pm   COMPLETE    Level: 2-10   Cards: 
2018-12-10 01:18:23pm   RUN         Level: 3-1   Cards: event,move,move,left,move
