2018-12-10 01:04:15pm   LOGIN    Level:    Cards: 
2018-12-10 01:04:37pm   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 01:04:39pm   COMPLETE    Level: 1-1   Cards: 
2018-12-10 01:05:05pm   RUN         Level: 1-2   Cards: event,left,move,move
2018-12-10 01:05:07pm   COMPLETE    Level: 1-2   Cards: 
2018-12-10 01:05:48pm   RUN         Level: 1-3   Cards: event,move,left,move,move,move,move
2018-12-10 01:05:55pm   RUN         Level: 1-3   Cards: event,move,left,move,move,move
2018-12-10 01:05:59pm   COMPLETE    Level: 1-3   Cards: 
2018-12-10 01:06:22pm   RUN         Level: 1-4   Cards: event,move,left,move,move
2018-12-10 01:06:45pm   RUN         Level: 1-4   Cards: event,move,left,move,move,move,right,right,right
2018-12-10 01:07:01pm   RUN         Level: 1-4   Cards: event,move,left,move,move,move,right,right,right,move
2018-12-10 01:07:07pm   COMPLETE    Level: 1-4   Cards: 
2018-12-10 01:07:52pm   RUN         Level: 1-5   Cards: event,left,move,move,right,move,move
2018-12-10 01:07:56pm   COMPLETE    Level: 1-5   Cards: 
2018-12-10 01:08:33pm   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right,move
2018-12-10 01:08:38pm   COMPLETE    Level: 1-6   Cards: 
2018-12-10 01:08:54pm   RUN         Level: 1-7   Cards: event,left,move,move
2018-12-10 01:09:55pm   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,right,move
2018-12-10 01:10:03pm   COMPLETE    Level: 1-7   Cards: 
2018-12-10 01:10:48pm   RUN         Level: 1-8   Cards: event,move,left,move,move
2018-12-10 01:11:11pm   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right,move
2018-12-10 01:11:17pm   COMPLETE    Level: 1-8   Cards: 
2018-12-10 01:11:34pm   RUN         Level: 1-9   Cards: event,left,move
2018-12-10 01:11:40pm   RUN         Level: 1-9   Cards: event,left,move,right
2018-12-10 01:12:21pm   RUN         Level: 1-9   Cards: event,left,move,right,move,move,move,left,move,move,right,right,move
2018-12-10 01:12:49pm   RUN         Level: 1-9   Cards: event,left,move,right,move,move,move,left,move,move,right
2018-12-10 01:13:14pm   RUN         Level: 1-9   Cards: event,left,move,right,move,move,move,left,move,move,right,left,left,move
2018-12-10 01:13:23pm   COMPLETE    Level: 1-9   Cards: 
2018-12-10 01:13:45pm   RUN         Level: 1-10   Cards: event,left,move
2018-12-10 01:14:08pm   RUN         Level: 1-10   Cards: event,left,move,left,move,move,right
2018-12-10 01:14:21pm   RUN         Level: 1-10   Cards: event,left,move
2018-12-10 01:14:57pm   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right
2018-12-10 01:15:11pm   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right
2018-12-10 01:15:25pm   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right,move
2018-12-10 01:15:33pm   COMPLETE    Level: 1-10   Cards: 
2018-12-10 01:16:08pm   RUN         Level: 1-11   Cards: event,left,move,move
2018-12-10 01:16:14pm   RUN         Level: 1-11   Cards: event,left,move,move,right
2018-12-10 01:16:55pm   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,right,move,move
2018-12-10 01:17:04pm   COMPLETE    Level: 1-11   Cards: 
2018-12-10 01:17:19pm   RUN         Level: 1-12   Cards: event,move,left,move,right
2018-12-10 01:17:39pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right
2018-12-10 01:17:52pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,left
2018-12-10 01:18:09pm   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,left,move
2018-12-10 01:18:16pm   COMPLETE    Level: 1-12   Cards: 
2018-12-10 01:18:44pm   RUN         Level: 2-1   Cards: event,laser,move,move,move
2018-12-10 01:18:46pm   COMPLETE    Level: 2-1   Cards: 
2018-12-10 01:19:12pm   RUN         Level: 2-2   Cards: event,left,move,laser,right,laser,move,move
2018-12-10 01:19:28pm   RUN         Level: 2-2   Cards: event,left,move,laser
2018-12-10 01:19:41pm   RUN         Level: 2-2   Cards: event,left,move,laser,move,right
2018-12-10 01:20:03pm   RUN         Level: 2-2   Cards: event,left,move,laser,move,right,laser,move,laser,move
2018-12-10 01:20:09pm   COMPLETE    Level: 2-2   Cards: 
2018-12-10 01:20:59pm   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,right,move
2018-12-10 01:21:22pm   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,right,move,left,move,right,move
2018-12-10 01:21:44pm   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,right,move,left,move,right,right,right,move
2018-12-10 01:21:53pm   COMPLETE    Level: 2-3   Cards: 
2018-12-10 01:22:20pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move
2018-12-10 01:22:49pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move,move,laser,move,move,right,move
2018-12-10 01:23:08pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move,left
2018-12-10 01:23:39pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move,left,move,laser,move,right,right
2018-12-10 01:24:01pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move,left,move,laser,move,right
2018-12-10 01:24:21pm   RUN         Level: 2-4   Cards: event,move,left,laser,right,move,left,move,laser,move,right,move,left,move
2018-12-10 01:24:29pm   COMPLETE    Level: 2-4   Cards: 
2018-12-10 01:25:01pm   RUN         Level: 2-5   Cards: event,left,move,right,laser,move,left,move
2018-12-10 01:25:11pm   RUN         Level: 2-5   Cards: event,left,move,right,laser,move
2018-12-10 01:25:23pm   RUN         Level: 2-5   Cards: event,left,move,right,laser,move,move,left,move
2018-12-10 01:25:29pm   COMPLETE    Level: 2-5   Cards: 
2018-12-10 01:25:47pm   RUN         Level: 2-6   Cards: event,laser,move
2018-12-10 01:26:05pm   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move
2018-12-10 01:26:19pm   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,right
2018-12-10 01:26:49pm   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,right,right,right,laser,move,move
2018-12-10 01:26:58pm   COMPLETE    Level: 2-6   Cards: 
2018-12-10 01:27:27pm   RUN         Level: 2-7   Cards: event,move,left,move,move,laser,right
2018-12-10 01:27:46pm   RUN         Level: 2-7   Cards: event,move,left,move,laser
2018-12-10 01:28:25pm   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,laser,move,move,left,move,left,move
