2018-12-10 11:10:06am   LOGIN    Level:    Cards: 
2018-12-10 11:10:25am   RUN         Level: 1-1   Cards: event,move,move,move,move
2018-12-10 11:10:31am   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 11:10:33am   COMPLETE    Level: 1-1   Cards: 
2018-12-10 11:10:47am   RUN         Level: 1-2   Cards: event,left,move,move
2018-12-10 11:10:49am   COMPLETE    Level: 1-2   Cards: 
2018-12-10 11:11:14am   RUN         Level: 1-3   Cards: event,move,left,move,move,move
2018-12-10 11:11:18am   COMPLETE    Level: 1-3   Cards: 
2018-12-10 11:11:42am   RUN         Level: 1-4   Cards: event,move,left,move,move
2018-12-10 11:11:57am   RUN         Level: 1-4   Cards: event,move,left,move,move,move,left,move
2018-12-10 11:12:02am   COMPLETE    Level: 1-4   Cards: 
2018-12-10 11:12:43am   RUN         Level: 1-5   Cards: event,left,move,move,right,move,move
2018-12-10 11:12:47am   COMPLETE    Level: 1-5   Cards: 
2018-12-10 11:13:31am   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right,move
2018-12-10 11:13:36am   COMPLETE    Level: 1-6   Cards: 
2018-12-10 11:14:19am   RUN         Level: 1-7   Cards: event,left,move,move
2018-12-10 11:14:34am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move
2018-12-10 11:14:48am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move
2018-12-10 11:15:00am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,right,move
2018-12-10 11:15:08am   COMPLETE    Level: 1-7   Cards: 
2018-12-10 11:15:52am   RUN         Level: 1-8   Cards: event,move,left
2018-12-10 11:16:20am   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right
2018-12-10 11:16:30am   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right,move
2018-12-10 11:16:37am   COMPLETE    Level: 1-8   Cards: 
2018-12-10 11:17:07am   RUN         Level: 1-9   Cards: event,move,left,move
2018-12-10 11:17:28am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move
2018-12-10 11:17:46am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left,move,move
2018-12-10 11:17:57am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left,move,move,left,move
2018-12-10 11:18:05am   COMPLETE    Level: 1-9   Cards: 
2018-12-10 11:18:20am   RUN         Level: 1-10   Cards: event,left
2018-12-10 11:18:39am   RUN         Level: 1-10   Cards: event,left,move
2018-12-10 11:19:30am   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move
2018-12-10 11:20:06am   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right
2018-12-10 11:20:16am   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right,move
2018-12-10 11:20:24am   COMPLETE    Level: 1-10   Cards: 
2018-12-10 11:20:59am   RUN         Level: 1-11   Cards: event,left
2018-12-10 11:21:52am   RUN         Level: 1-11   Cards: event,left,move,move,right,move
2018-12-10 11:22:32am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,move
2018-12-10 11:23:02am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,move,right,move,move
