2018-12-10 11:10:08am   LOGIN    Level:    Cards: 
2018-12-10 11:10:30am   RUN         Level: 1-1   Cards: event,move,move,move
2018-12-10 11:10:32am   COMPLETE    Level: 1-1   Cards: 
2018-12-10 11:10:55am   RUN         Level: 1-2   Cards: event,left,move,move
2018-12-10 11:10:57am   COMPLETE    Level: 1-2   Cards: 
2018-12-10 11:11:20am   RUN         Level: 1-3   Cards: event,move,left,move,move,move
2018-12-10 11:11:24am   COMPLETE    Level: 1-3   Cards: 
2018-12-10 11:12:13am   RUN         Level: 1-4   Cards: event,move,move,left,move,right,move
2018-12-10 11:12:24am   RUN         Level: 1-4   Cards: event,move,move,left,move,move
2018-12-10 11:12:32am   RUN         Level: 1-4   Cards: event,move,move,left,move,move,right
2018-12-10 11:12:45am   RUN         Level: 1-4   Cards: event,move,move,left,move,move,right,left
2018-12-10 11:13:10am   RUN         Level: 1-4   Cards: event,move,left,move,move,move,left,move
2018-12-10 11:13:15am   COMPLETE    Level: 1-4   Cards: 
2018-12-10 11:13:46am   RUN         Level: 1-5   Cards: event,left,move,move,right,move,move
2018-12-10 11:13:50am   COMPLETE    Level: 1-5   Cards: 
2018-12-10 11:14:14am   RUN         Level: 1-6   Cards: event,left,move,move
2018-12-10 11:14:20am   RUN         Level: 1-6   Cards: event,left,move,move,right
2018-12-10 11:14:28am   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,move
2018-12-10 11:14:45am   RUN         Level: 1-6   Cards: event,left,move,move,right,move,move,right,move
2018-12-10 11:14:51am   COMPLETE    Level: 1-6   Cards: 
2018-12-10 11:15:06am   RUN         Level: 1-7   Cards: event,left,move,move,move
2018-12-10 11:15:13am   RUN         Level: 1-7   Cards: event,left,move,move
2018-12-10 11:15:32am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move
2018-12-10 11:15:45am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right
2018-12-10 11:16:02am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,left,move
2018-12-10 11:16:20am   RUN         Level: 1-7   Cards: event,left,move,move,right,move,move,move,right,move,move,right,move,right
2018-12-10 11:16:28am   COMPLETE    Level: 1-7   Cards: 
2018-12-10 11:16:43am   RUN         Level: 1-8   Cards: event,move
2018-12-10 11:16:47am   RUN         Level: 1-8   Cards: event,move,left,move
2018-12-10 11:18:02am   RUN         Level: 1-8   Cards: event,move,left,move,move,right
2018-12-10 11:18:31am   RUN         Level: 1-8   Cards: event,move,left,move,move,right,move,move,right,move
2018-12-10 11:18:37am   COMPLETE    Level: 1-8   Cards: 
2018-12-10 11:18:54am   RUN         Level: 1-9   Cards: event,move
2018-12-10 11:19:01am   RUN         Level: 1-9   Cards: event,move,left,move
2018-12-10 11:19:11am   RUN         Level: 1-9   Cards: event,move,left,move,right,move
2018-12-10 11:19:26am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move
2018-12-10 11:19:34am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left
2018-12-10 11:19:56am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left,move,move,right,move
2018-12-10 11:20:13am   RUN         Level: 1-9   Cards: event,move,left,move,right,move,move,left,move,move,left,move
2018-12-10 11:20:21am   COMPLETE    Level: 1-9   Cards: 
2018-12-10 11:20:34am   RUN         Level: 1-10   Cards: event
2018-12-10 11:20:42am   RUN         Level: 1-10   Cards: event,left,right,move
2018-12-10 11:20:49am   RUN         Level: 1-10   Cards: event,left
2018-12-10 11:20:54am   RUN         Level: 1-10   Cards: event,left,move
2018-12-10 11:20:58am   RUN         Level: 1-10   Cards: event,left,move,right
2018-12-10 11:21:35am   RUN         Level: 1-10   Cards: event,left,move,right,move,left,move,move,right,move,move,right,move
2018-12-10 11:21:43am   COMPLETE    Level: 1-10   Cards: 
2018-12-10 11:22:00am   RUN         Level: 1-11   Cards: event,left,move,right
2018-12-10 11:22:15am   RUN         Level: 1-11   Cards: event,left,move,move,right
2018-12-10 11:24:05am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,right,move,move,move,right,move
2018-12-10 11:24:15am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left
2018-12-10 11:24:27am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move
2018-12-10 11:24:43am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move
2018-12-10 11:24:54am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,right,move
2018-12-10 11:25:08am   RUN         Level: 1-11   Cards: event,left,move,move,right,move,left,move,right,move,move,right,move,move
2018-12-10 11:25:17am   COMPLETE    Level: 1-11   Cards: 
2018-12-10 11:25:28am   RUN         Level: 1-12   Cards: event,move
2018-12-10 11:25:32am   RUN         Level: 1-12   Cards: event,move,left
2018-12-10 11:26:06am   RUN         Level: 1-12   Cards: event,move,left,move,right,move,left,move,right,move,left,move
2018-12-10 11:26:13am   COMPLETE    Level: 1-12   Cards: 
2018-12-10 11:26:34am   RUN         Level: 2-1   Cards: event,laser
2018-12-10 11:26:43am   RUN         Level: 2-1   Cards: event,laser,move
2018-12-10 11:26:55am   RUN         Level: 2-1   Cards: event,laser,move,move,move
2018-12-10 11:26:58am   COMPLETE    Level: 2-1   Cards: 
2018-12-10 11:27:37am   RUN         Level: 2-2   Cards: event,left,move,laser
2018-12-10 11:27:57am   RUN         Level: 2-2   Cards: event,left,move,laser,move,move,left
2018-12-10 11:28:29am   RUN         Level: 2-2   Cards: event,left,move,laser,move,move,right,move,move,move,right,move,left,move
2018-12-10 11:28:46am   RUN         Level: 2-2   Cards: event,left,move,laser,move,move,right,move,move,move,right,move,right,move
2018-12-10 11:28:55am   COMPLETE    Level: 2-2   Cards: 
2018-12-10 11:29:35am   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,move,right,move
2018-12-10 11:29:49am   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,move,move
2018-12-10 11:30:03am   RUN         Level: 2-3   Cards: event,laser,move,laser,move,left,move
2018-12-10 11:30:12am   COMPLETE    Level: 2-3   Cards: 
2018-12-10 11:30:55am   RUN         Level: 2-4   Cards: event,move,left,laser
2018-12-10 11:31:18am   RUN         Level: 2-4   Cards: event,move,left,laser,move,move,right,laser,move,left,move
2018-12-10 11:31:37am   RUN         Level: 2-4   Cards: event,move,left,laser,move,move,right,laser,move,left,move,right,move
2018-12-10 11:31:46am   COMPLETE    Level: 2-4   Cards: 
2018-12-10 11:32:15am   RUN         Level: 2-5   Cards: event,left,move,laser
2018-12-10 11:32:36am   RUN         Level: 2-5   Cards: event,left,move,laser,move,right,move,move,right,move
2018-12-10 11:32:55am   RUN         Level: 2-5   Cards: event,left,move,laser,move,right,move
2018-12-10 11:33:04am   RUN         Level: 2-5   Cards: event,left,move,laser,move
2018-12-10 11:33:11am   RUN         Level: 2-5   Cards: event,left,move,laser,move,move
2018-12-10 11:33:31am   RUN         Level: 2-5   Cards: event,left,move,laser,move,move,right,move,move,right,move
2018-12-10 11:33:38am   COMPLETE    Level: 2-5   Cards: 
2018-12-10 11:34:23am   RUN         Level: 2-6   Cards: event,laser,move
2018-12-10 11:35:00am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,move
2018-12-10 11:35:09am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,move,right
2018-12-10 11:35:34am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,move,left,move,move,right,move
2018-12-10 11:35:59am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,move,left,move,move,left,move
2018-12-10 11:36:07am   COMPLETE    Level: 2-6   Cards: 
2018-12-10 11:37:12am   RUN         Level: 2-7   Cards: event,move,left,move,laser
2018-12-10 11:37:45am   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,move,laser,move,left,move
2018-12-10 11:37:55am   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,move,laser,move,left,move
2018-12-10 11:38:27am   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,move,laser
2018-12-10 11:38:40am   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right
2018-12-10 11:38:47am   RUN         Level: 2-7   Cards: event,move,left,move,laser
2018-12-10 11:39:07am   RUN         Level: 2-7   Cards: event,move,left,move,right,laser,move
2018-12-10 11:39:26am   RUN         Level: 2-7   Cards: event,move,left,move,right,laser,move,left,laser,move,move
2018-12-10 11:39:33am   COMPLETE    Level: 2-7   Cards: 
2018-12-10 11:41:13am   RUN         Level: 2-8   Cards: event,move,laser,move
